,Total,12 Packs,,Starter ,Jinx,,SF Box,,Rumble Deck,
No,Total,Normal,Shinny,Garen + Master Yi,Normal,Shinny,Normal,Shinny,Normal,Shinny
ogn-001,3,1.0,,,2.0,,,,,
ogn-002,4,1.0,,,3.0,,,,,
ogn-003,5,2.0,,,3.0,,,,,
ogn-004,1,1.0,,,,,,,,
ogn-005,1,1.0,,,,,,,,
ogn-006,4,1.0,,,3.0,,,,,
ogn-007,10,3.0,,,6.0,,,,,
ogn-007a,,1.0,,,,,,,,
ogn-008,3,1.0,,,2.0,,,,,
ogn-009,1,1.0,,,,,,,,
ogn-010,2,2.0,,,,,,,,
ogn-011,1,,,,1.0,,,,,
ogn-012,3,3.0,,,,,,,,
ogn-013,2,1.0,1.0,,,,,,,
ogn-014,0,,,,,,,,,
ogn-015,0,,,,,,,,,
ogn-016,0,,,,,,,,,
ogn-017,1,1.0,,,,,,,,
ogn-018,0,,,,,,,,,
ogn-019,3,,,,3.0,,,,,
ogn-020,1,1.0,,,,,,,,
ogn-021,1,1.0,,,,,,,,
ogn-022,0,,,,,,,,,
ogn-023,0,,,,,,,,,
ogn-024,3,1.0,,,2.0,,,,,
ogn-025,0,,,,,,,,,
ogn-026,0,,,,,,,,,
ogn-027,0,,,,,,,,,
ogn-027a,,,,,,,,,,
ogn-028,1,,1.0,,,,,,,
ogn-029,0,,,,,,,,,
ogn-030,2,,1.0,,,1.0,,,,
ogn-030a,,,,,,,,,,
ogn-031,0,,,,,,,,,
ogn-032,0,,,,,,,,,
ogn-033,0,,,,,,,,,
ogn-034,0,,,,,,,,,
ogn-035,1,,1.0,,,,,,,
ogn-036,1,,,,,1.0,,,,
ogn-037,0,,,,,,,,,
ogn-038,0,,,,,,,,,
ogn-039,0,,,,,,,,,
ogn-039a,,,,,,,,,,
ogn-040,0,,,,,,,,,
ogn-041,0,,,,,,,,,
ogn-041a,,,,,,,,,,
ogn-042,6,,,6.0,,,,,,
ogn-042a,,,,,,,,,,
ogn-043,1,1.0,,,,,,,,
ogn-044,0,,,,,,,,,
ogn-045,0,,,,,,,,,
ogn-046,5,2.0,,3.0,,,,,,
ogn-047,0,,,,,,,,,
ogn-048,5,2.0,,3.0,,,,,,
ogn-049,6,2.0,1.0,3.0,,,,,,
ogn-050,1,1.0,,,,,,,,
ogn-051,2,2.0,,,,,,,,
ogn-052,6,3.0,,3.0,,,,,,
ogn-053,1,1.0,,,,,,,,
ogn-054,0,,,,,,,,,
ogn-055,4,1.0,,3.0,,,,,,
ogn-056,0,,,,,,,,,
ogn-057,1,1.0,,,,,,,,
ogn-058,1,1.0,,,,,,,,
ogn-059,1,1.0,,,,,,,,
ogn-060,1,1.0,,,,,,,,
ogn-061,2,1.0,1.0,,,,,,,
ogn-062,0,,,,,,,,,
ogn-063,0,,,,,,,,,
ogn-064,0,,,,,,,,,
ogn-065,1,1.0,,,,,,,,
ogn-066,0,,,,,,,,,
ogn-066a,,,,,,,,,,
ogn-067,0,,,,,,,,,
ogn-068,0,,,,,,,,,
ogn-069,1,,1.0,,,,,,,
ogn-070,0,,,,,,,,,
ogn-071,1,,1.0,,,,,,,
ogn-072,0,,,,,,,,,
ogn-073,0,,,,,,,,,
ogn-074,0,,,,,,,,,
ogn-075,0,,,,,,,,,
ogn-076,0,,,,,,,,,
ogn-076a,,,,,,,,,,
ogn-077,0,,,,,,,,,
ogn-078,0,,,,,,,,,
ogn-078a,,,,,,,,,,
ogn-079,0,,,,,,,,,
ogn-079a,,,,,,,,,,
ogn-080,0,,,,,,,,,
ogn-081,0,,,,,,,,,
ogn-082,0,,,,,,,,,
ogn-083,1,1.0,,,,,,,,
ogn-084,2,2.0,,,,,,,,
ogn-085,2,2.0,,,,,,,,
ogn-086,0,,,,,,,,,
ogn-087,0,,,,,,,,,
ogn-088,3,3.0,,,,,,,,
ogn-089,1,1.0,,,,,,,,
ogn-089a,,,,,,,,,,
ogn-090,2,2.0,,,,,,,,
ogn-091,1,1.0,,,,,,,,
ogn-092,1,1.0,,,,,,,,
ogn-093,0,,,,,,,,,
ogn-094,1,1.0,,,,,,,,
ogn-095,2,1.0,1.0,,,,,,,
ogn-096,1,1.0,,,,,,,,
ogn-097,0,,,,,,,,,
ogn-098,0,,,,,,,,,
ogn-099,1,1.0,,,,,,,,
ogn-100,2,2.0,,,,,,,,
ogn-101,0,,,,,,,,,
ogn-102,1,1.0,,,,,,,,
ogn-103,1,1.0,,,,,,,,
ogn-104,0,,,,,,,,,
ogn-105,0,,,,,,,,,
ogn-106,1,1.0,,,,,,,,
ogn-107,0,,,,,,,,,
ogn-108,1,,1.0,,,,,,,
ogn-109,0,,,,,,,,,
ogn-110,1,,1.0,,,,,,,
ogn-111,0,,,,,,,,,
ogn-112,0,,,,,,,,,
ogn-112a,,,,,,,,,,
ogn-113,0,,,,,,,,,
ogn-114,0,,,,,,,,,
ogn-115,1,,1.0,,,,,,,
ogn-116,0,,,,,,,,,
ogn-117,2,,1.0,,,,,,,
ogn-117a,,,1.0,,,,,,,
ogn-118,0,,,,,,,,,
ogn-119,0,,,,,,,,,
ogn-119a,,,,,,,,,,
ogn-120,0,,,,,,,,,
ogn-121,1,,1.0,,,,,,,
ogn-121a,,,,,,,,,,
ogn-122,0,,,,,,,,,
ogn-123,0,,,,,,,,,
ogn-124,2,2.0,,,,,,,,
ogn-125,1,1.0,,,,,,,,
ogn-126,12,,,12.0,,,,,,
ogn-126a,,,,,,,,,,
ogn-127,4,1.0,,3.0,,,,,,
ogn-128,1,1.0,,,,,,,,
ogn-129,6,1.0,,5,,,,,,
ogn-130,5,1.0,1.0,3.0,,,,,,
ogn-131,2,,,2.0,,,,,,
ogn-132,5,2.0,,3.0,,,,,,
ogn-133,2,2.0,,,,,,,,
ogn-134,6,3.0,,3.0,,,,,,
ogn-135,0,,,,,,,,,
ogn-136,1,1.0,,,,,,,,
ogn-137,4,1.0,,3.0,,,,,,
ogn-138,2,2.0,,,,,,,,
ogn-139,0,,,,,,,,,
ogn-140,0,,,,,,,,,
ogn-141,0,,,,,,,,,
ogn-142,3,1.0,,2.0,,,,,,
ogn-143,0,,,,,,,,,
ogn-144,0,,,,,,,,,
ogn-145,0,,,,,,,,,
ogn-146,0,,,,,,,,,
ogn-147,1,1.0,,,,,,,,
ogn-148,0,,,,,,,,,
ogn-149,0,,,,,,,,,
ogn-150,0,,,,,,,,,
ogn-151,1,,1.0,,,,,,,
ogn-151a,,,,,,,,,,
ogn-152,1,,1.0,,,,,,,
ogn-153,1,,1.0,,,,,,,
ogn-154,0,,,,,,,,,
ogn-155,0,,,,,,,,,
ogn-156,1,,1.0,,,,,,,
ogn-157,0,,,,,,,,,
ogn-158,1,,1.0,,,,,,,
ogn-158a,,,,,,,,,,
ogn-159,0,,,,,,,,,
ogn-160,0,,,,,,,,,
ogn-161,1,,1.0,,,,,,,
ogn-162,0,,,,,,,,,
ogn-162a,,,,,,,,,,
ogn-163,1,,1.0,,,,,,,
ogn-164,0,,,,,,,,,
ogn-164a,,,,,,,,,,
ogn-165,3,1.0,,,2.0,,,,,
ogn-166,7,1.0,,,6.0,,,,,
ogn-166a,,,,,,,,,,
ogn-167,1,1.0,,,,,,,,
ogn-168,3,,,,3.0,,,,,
ogn-169,4,1.0,,,3.0,,,,,
ogn-170,2,2.0,,,,,,,,
ogn-171,1,,1.0,,,,,,,
ogn-172,1,1.0,,,,,,,,
ogn-173,2,2.0,,,,,,,,
ogn-174,1,1.0,,,,,,,,
ogn-175,1,1.0,,,,,,,,
ogn-176,1,1.0,,,,,,,,
ogn-177,2,2.0,,,,,,,,
ogn-178,3,1.0,,,2.0,,,,,
ogn-179,0,,,,,,,,,
ogn-180,2,,,,2.0,,,,,
ogn-181,0,,,,,,,,,
ogn-182,3,,,,3.0,,,,,
ogn-183,1,1.0,,,,,,,,
ogn-184,2,1.0,1.0,,,,,,,
ogn-185,3,,,,3.0,,,,,
ogn-186,0,,,,,,,,,
ogn-187,0,,,,,,,,,
ogn-188,1,1.0,,,,,,,,
ogn-189,0,,,,,,,,,
ogn-190,0,,,,,,,,,
ogn-191,0,,,,,,,,,
ogn-192,1,,1.0,,,,,,,
ogn-193,1,,1.0,,,,,,,
ogn-193a,,,,,,,,,,
ogn-194,1,,1.0,,,,,,,
ogn-195,1,,,,,1.0,,,,
ogn-196,0,,,,,,,,,
ogn-197,1,,1.0,,,,,,,
ogn-197a,,,,,,,,,,
ogn-198,0,,,,,,,,,
ogn-199,1,,1.0,,,,,,,
ogn-200,0,,,,,,,,,
ogn-201,0,,,,,,,,,
ogn-202,0,,,,,,,,,
ogn-202a,,,,,,,,,,
ogn-203,0,,,,,,,,,
ogn-204,0,,,,,,,,,
ogn-205,0,,,,,,,,,
ogn-205a,,,,,,,,,,
ogn-206,5,2.0,,3.0,,,,,,
ogn-207,1,1.0,,,,,,,,
ogn-208,1,1.0,,,,,,,,
ogn-209,1,1.0,,,,,,,,
ogn-210,6,2.0,1.0,3.0,,,,,,
ogn-211,4,1.0,,3.0,,,,,,
ogn-212,0,,,,,,,,,
ogn-213,2,2.0,,,,,,,,
ogn-214,7,1.0,,6.0,,,,,,
ogn-214a,,,,,,,,,,
ogn-215,4,2.0,,2.0,,,,,,
ogn-216,1,1.0,,,,,,,,
ogn-217,1,1.0,,,,,,,,
ogn-218,1,1.0,,,,,,,,
ogn-219,4,1.0,,3.0,,,,,,
ogn-220,2,2.0,,,,,,,,
ogn-221,0,,,,,,,,,
ogn-222,4,1.0,,3.0,,,,,,
ogn-223,1,1.0,,,,,,,,
ogn-224,0,,,,,,,,,
ogn-225,1,1.0,,,,,,,,
ogn-226,0,,,,,,,,,
ogn-227,0,,,,,,,,,
ogn-228,0,,,,,,,,,
ogn-229,0,,,,,,,,,
ogn-230,0,,,,,,,,,
ogn-231,0,,,,,,,,,
ogn-232,0,,,,,,,,,
ogn-233,1,,1.0,,,,,,,
ogn-234,0,,,,,,,,,
ogn-235,0,,,,,,,,,
ogn-236,1,,1.0,,,,,,,
ogn-237,0,,,,,,,,,
ogn-238,0,,,,,,,,,
ogn-238a,,,,,,,,,,
ogn-239,0,,,,,,,,,
ogn-240,1,,1.0,,,,,,,
ogn-240a,,,,,,,,,,
ogn-241,0,,,,,,,,,
ogn-242,0,,,,,,,,,
ogn-243,0,,,,,,,,,
ogn-243a,,,,,,,,,,
ogn-244,0,,,,,,,,,
ogn-245,0,,,,,,,,,
ogn-246,0,,,,,,,,,
ogn-246a,,,,,,,,,,
ogn-247,0,,,,,,,,,
ogn-248,0,,,,,,,,,
ogn-249,0,,,,,,,,,
ogn-250,0,,,,,,,,,
ogn-251,1,,,,,1.0,,,,
ogn-252,0,,,,,,,,,
ogn-253,1,,1.0,,,,,,,
ogn-254,0,,,,,,,,,
